,index,Latitude_x,Longitude_x,centroid_name,index_x,join_key,MRT Name,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration
0,85,1.4324773882709496,103.7913216676051,503A WOODLANDS DRIVE 14,0,A,WOODLANDS MRT STATION,1.43605761708128,103.787938777173,86,0.5476258845924774,"[[103.7913216676051, 1.4324773882709496], [103.787938777173, 1.43605761708128]]",1459.0,370.0
1,245,1.349428009750324,103.87584367374164,419 SERANGOON CENTRAL,1,A,SERANGOON MRT STATION,1.35063361526525,103.872771660431,32,0.3668676363455308,"[[103.87584367374164, 1.349428009750324], [103.872771660431, 1.35063361526525]]",550.6,174.8
2,474,1.3626193754768163,103.74593959900368,420 BUKIT BATOK WEST AVENUE 2,2,A,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733,47,0.7884722533064998,"[[103.74593959900368, 1.3626193754768163], [103.751790910733, 1.35861159094192]]",1618.0,463.5
3,661,1.3480371710809351,103.9456495181096,103 TAMPINES STREET 11,3,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,0.8392937679371016,"[[103.9456495181096, 1.3480371710809351], [103.938492495285, 1.3456336579777]]",1038.7,240.9
4,992,1.2943824558480614,103.81046267406816,DAWSON VISTA,4,A,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,137,0.48788237037783805,"[[103.81046267406816, 1.2943824558480614], [103.806077155982, 1.29455085184931]]",690.5,176.7
5,1098,1.4021416943464815,103.89272023174956,MATILDA EDGE,5,A,SOO TECK LRT STATION,1.40532331860455,103.897290522033,29,0.6190846938287191,"[[103.89272023174956, 1.4021416943464815], [103.897290522033, 1.40532331860455]]",942.4,243.8
6,1301,1.420390256668904,103.84115735254449,664 YISHUN AVENUE 4,6,A,KHATIB MRT STATION,1.41738337009565,103.832979908243,17,0.9685516047052488,"[[103.84115735254449, 1.420390256668904], [103.832979908243, 1.41738337009565]]",1419.7,451.0
7,1639,1.3519580162695448,103.703863368823,WENYA,7,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,1.5045991453147602,"[[103.703863368823, 1.3519580162695448], [103.706084900902, 1.33861033900695]]",2332.7,652.6
8,1802,1.3365152581552813,103.85257763525732,TOA PAYOH VISTA,8,A,TOA PAYOH MRT STATION,1.33259672794159,103.847577286075,91,0.7062830762102973,"[[103.85257763525732, 1.3365152581552813], [103.847577286075, 1.33259672794159]]",1398.9,360.4
9,1935,1.3171248251194296,103.87774943658017,PAN-I COMPLEX,9,A,ALJUNIED MRT STATION,1.3164326118157,103.882906044385,9,0.5783816824710193,"[[103.87774943658017, 1.3171248251194296], [103.882906044385, 1.3164326118157]]",1322.3,312.4
10,2181,1.3108222206834323,103.76079382526086,WEST COAST VISTA,10,A,CLEMENTI MRT STATION,1.31511625277378,103.765191452888,42,0.6833530932196622,"[[103.76079382526086, 1.3108222206834323], [103.765191452888, 1.31511625277378]]",2221.3,450.4
11,2375,1.361745454987451,103.95284147050111,482 TAMPINES STREET 43,11,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.6489404900454634,"[[103.95284147050111, 1.361745454987451], [103.9546344625, 1.35619148271544]]",1078.6,248.2
12,2621,1.3662038012058704,103.8486010062186,TECK GHEE EVERGREEN,12,A,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,54,0.3709367803618429,"[[103.8486010062186, 1.3662038012058704], [103.849455226442, 1.36942855699191]]",879.1,266.7
13,2850,1.3860395324405113,103.76018649582376,SENJA GRAND,13,A,SENJA LRT STATION,1.38272547134453,103.76234425472,69,0.43969413762441784,"[[103.76018649582376, 1.3860395324405113], [103.76234425472, 1.38272547134453]]",915.7,305.2
14,3127,1.3871543749976811,103.90472237219862,RIVERVALE BANK,14,A,BAKAU LRT STATION,1.38799431054768,103.905415300171,132,0.12106259747448384,"[[103.90472237219862, 1.3871543749976811], [103.905415300171, 1.38799431054768]]",367.5,98.8
15,3385,1.3337226968701588,103.91459957502391,EUNOS GROVE,15,A,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995,176,0.392330811475193,"[[103.91459957502391, 1.3337226968701588], [103.91797832995, 1.33474211664091]]",788.5,288.4
16,3524,1.4518009084572183,103.81963219252881,417 CANBERRA ROAD,16,A,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,101,0.3092382829094565,"[[103.81963219252881, 1.4518009084572183], [103.820046140211, 1.44905082158502]]",502.2,119.7
17,3784,1.273025222215572,103.82389154448728,LOWER DELTA ROAD,17,A,HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095,147,0.8887211901885286,"[[103.82389154448728, 1.273025222215572], [103.821530157095, 1.26538938374901]]",1422.6,379.6
18,3996,1.3824019198044433,103.74175241364358,KEAT HONG LAUREL,18,A,CHOA CHU KANG LRT STATION,1.38475541089131,103.74453769781,145,0.4053997649711832,"[[103.74175241364358, 1.3824019198044433], [103.74453769781, 1.38475541089131]]",599.6,193.4
19,4073,1.3758127822588984,103.88277936840002,CI YUAN COMMUNITY CLUB,19,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,1.17973612529026,"[[103.88277936840002, 1.3758127822588984], [103.892380513029, 1.37129226620797]]",1916.1,403.2
20,4328,1.3492579183060975,103.73067562265308,JURONG POLYCLINIC,20,A,CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621,49,0.8137123674959106,"[[103.73067562265308, 1.3492579183060975], [103.732766601621, 1.34224494823931]]",1107.0,229.6
21,4530,1.312928634749774,103.85367021648912,CONNEXION,21,A,FARRER PARK MRT STATION,1.31314029963164,103.854754721344,37,0.12283568321167229,"[[103.85367021648912, 1.312928634749774], [103.854754721344, 1.31314029963164]]",233.0,53.7
22,4812,1.3451758746856304,103.69332980757287,828 JURONG WEST STREET 81,22,A,PIONEER MRT STATION,1.33758701106708,103.697321608474,105,0.9534055150700543,"[[103.69332980757287, 1.3451758746856304], [103.697321608474, 1.33758701106708]]",1340.8,349.6
23,4933,1.376999330122905,103.94157129192764,OASIS @ ELIAS,23,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,0.9635581840197601,"[[103.94157129192764, 1.376999330122905], [103.949265083922, 1.37300805046319]]",1375.8,321.3
24,5228,1.3958822676347806,103.87872013506778,SENGKANG WEST WAY,24,A,THANGGAM LRT STATION,1.39731815581938,103.875635154729,93,0.37827894760924774,"[[103.87872013506778, 1.3958822676347806], [103.875635154729, 1.39731815581938]]",603.4,120.7
25,5485,1.4044127878154387,103.90767593702245,PUNGGOL LODGE,25,A,DAMAI LRT STATION,1.40523483636957,103.908603542566,136,0.13779643445538645,"[[103.90767593702245, 1.4044127878154387], [103.908603542566, 1.40523483636957]]",307.0,127.6
26,5740,1.3289725854321912,103.93537427563926,137 BEDOK NORTH AVENUE 3,26,A,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286,177,0.9179411381563759,"[[103.93537427563926, 1.3289725854321912], [103.932234623286, 1.33660782955099]]",1244.8,340.3
27,5952,1.3403476951181015,103.74495034275768,TOH GUAN GROVE,27,A,JURONG EAST MRT STATION,1.33315261987295,103.742286544006,175,0.8530982448612429,"[[103.74495034275768, 1.3403476951181015], [103.742286544006, 1.33315261987295]]",1535.1,414.2
28,6125,1.3061011997379577,103.79978237134024,COMMONWEALTH 16,28,A,COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336,134,0.4358988176352336,"[[103.79978237134024, 1.3061011997379577], [103.798228523336, 1.30250199924325]]",895.8,192.0
29,6221,1.4292367250306883,103.77408592349828,417 WOODLANDS STREET 41,29,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,0.36521338562170796,"[[103.77408592349828, 1.4292367250306883], [103.774074641403, 1.43252114855026]]",530.1,141.2
30,6421,1.3135906442596297,103.89636720879246,HAIG VIEW,30,A,PAYA LEBAR MRT STATION,1.31719911972353,103.8923648823,1,0.5991257674379886,"[[103.89636720879246, 1.3135906442596297], [103.8923648823, 1.31719911972353]]",1013.2,322.9
31,6715,1.3968814538039696,103.74663950198192,YEWTEE POINT,31,A,YEW TEE MRT STATION,1.39729771118639,103.74735767326,82,0.09228064163963745,"[[103.74663950198192, 1.3968814538039696], [103.74735767326, 1.39729771118639]]",217.5,97.5
32,6860,1.440681641599151,103.79773334236516,710 WOODLANDS DRIVE 70,32,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.36221502320392346,"[[103.79773334236516, 1.440681641599151], [103.800990519771, 1.44058856161847]]",713.3,173.6
33,7159,1.3287249832086492,103.72249327909466,158 YUNG LOH ROAD,33,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,1.7358253870518068,"[[103.72249327909466, 1.3287249832086492], [103.720949087456, 1.34425911493819]]",2574.6,659.4
34,7295,1.3559005167995315,103.93737476409096,TAMPINES SUNRISE,34,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,1.1483643268693937,"[[103.93737476409096, 1.3559005167995315], [103.938492495285, 1.3456336579777]]",1421.6,386.4
35,7581,1.283249842538977,103.82571417986028,MEMBINA COURT,35,A,TIONG BAHRU MRT STATION,1.28610253588403,103.827445112691,92,0.3710060305505073,"[[103.82571417986028, 1.283249842538977], [103.827445112691, 1.28610253588403]]",617.0,165.8
